City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Krasnyy Chikoy,RU,50.3643,108.7512,47.34,54,61,2.82,broken clouds
108,Dakar,SN,14.6937,-17.4441,78.93,89,20,4.61,few clouds
109,Udaipur,IN,24.5712,73.6918,71.11,79,0,2.89,clear sky
110,Puerto Madryn,AR,-42.7692,-65.0385,70.05,23,85,16.96,overcast clouds
111,San Patricio,US,28.017,-97.5169,82.29,86,100,6.35,overcast clouds
112,Vardo,NO,70.3705,31.1107,46.38,87,100,13.8,overcast clouds
113,Souillac,MU,-20.5167,57.5167,70.18,73,40,11.5,scattered clouds
114,Nioro,GM,13.35,-15.75,75.33,94,71,4.9,broken clouds
115,Narsaq,GL,60.9167,-46.05,50.22,88,100,4.99,overcast clouds
116,Torit,SS,4.4133,32.5678,68.11,91,18,1.77,light rain
117,Axim,GH,4.8699,-2.2405,74.19,92,76,6.24,broken clouds
118,Lagunas,PE,-5.2269,-75.6753,78.49,59,39,1.5,scattered clouds
119,Georgetown,MY,5.4112,100.3354,79.9,93,20,3.44,few clouds
120,Laguna,US,38.421,-121.4238,115.14,12,0,11.5,clear sky
121,Iqaluit,CA,63.7506,-68.5145,40.73,86,75,5.99,broken clouds
122,Santa Rosa,PH,14.3122,121.1114,84.11,83,100,0.85,overcast clouds
123,Touros,BR,-5.1989,-35.4608,75.69,83,38,13.51,scattered clouds
124,Chara,RU,56.9064,118.2631,49.32,81,67,0.47,broken clouds
125,Constitucion,CL,-35.3333,-72.4167,54.99,81,15,7.34,few clouds
126,Eyl,SO,7.9803,49.8164,75.63,78,4,22.19,clear sky
127,Les Ponts-De-Ce,FR,47.4231,-0.5248,63.07,91,2,5.82,clear sky
128,Karpathos,GR,35.507,27.2132,75.16,73,0,32.21,clear sky
129,Tiksi,RU,71.6872,128.8694,44.8,58,99,16.22,overcast clouds
130,Coihueco,CL,-36.6167,-71.8333,59.74,63,0,3.44,clear sky
131,Coquimbo,CL,-29.9533,-71.3436,53.33,100,40,4.61,scattered clouds
132,Khatanga,RU,71.9667,102.5,41.83,91,100,7.85,overcast clouds
133,Benguela,AO,-12.5763,13.4055,68.86,87,48,5.82,scattered clouds
134,Camana,PE,-16.6228,-72.7111,62.96,78,11,6.02,few clouds
135,Naryshkino,RU,52.9678,35.7268,43.39,87,68,8.34,broken clouds
136,Yasnyy,RU,51.0333,59.8742,54.57,63,98,7.54,overcast clouds
137,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,83,75,3.8,broken clouds
138,Mattru,SL,7.6244,-11.8332,73.8,97,100,2.51,moderate rain
139,Matara,LK,5.9485,80.5353,76.51,92,100,12.26,overcast clouds
140,Rognan,NO,67.0953,15.3878,49.05,93,100,3.62,overcast clouds
141,Vao,NC,-22.6667,167.4833,67.32,61,99,12.48,moderate rain
142,Villamontes,BO,-21.25,-63.5,64.04,24,14,3.67,few clouds
143,Shelburne,CA,44.0787,-80.2041,65.23,82,100,6.17,overcast clouds
144,Acarau,BR,-2.8856,-40.12,78.58,84,44,19.98,scattered clouds
145,Jamestown,US,42.097,-79.2353,69.03,72,100,4.61,overcast clouds
146,Katsuura,JP,35.1333,140.3,82.72,71,21,8.95,few clouds
147,Hambantota,LK,6.1241,81.1185,77.65,86,100,17.07,overcast clouds
148,Fairmont,US,39.4851,-80.1426,72.77,96,100,2.24,overcast clouds
149,Mehamn,NO,71.0357,27.8492,46.31,93,100,10.36,overcast clouds
150,Dikson,RU,73.5069,80.5464,35.2,79,100,22.86,overcast clouds
151,Solnechnyy,RU,50.7214,136.6319,56.16,94,100,4.36,light rain
152,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,11.5,scattered clouds
153,Maldonado,UY,-34.6667,-54.9167,55.22,76,0,5.99,clear sky
154,Yar-Sale,RU,66.8333,70.8333,40.84,93,100,4.23,overcast clouds
155,Ukiah,US,39.1502,-123.2078,112.44,15,0,5.99,clear sky
156,Kardymovo,RU,54.8902,32.4311,39.29,95,72,6.15,broken clouds
157,Antalaha,MG,-14.9003,50.2788,67.32,91,90,7.23,light rain
158,Arbagar,RU,51.9438,116.2805,51.8,95,100,5.12,light rain
159,Luderitz,NA,-26.6481,15.1594,55.72,60,0,17.92,clear sky
