City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Vila Velha,BR,2022-09-02 04:59:46,-20.3297,-40.2925,63.95,87,0,3.44
126,New Norfolk,AU,2022-09-02 05:02:27,-42.7826,147.0587,56.7,63,69,4.0
127,Muisne,EC,2022-09-02 05:02:27,0.6,-80.0333,74.08,86,100,7.02
128,Mount Isa,AU,2022-09-02 05:02:28,-20.7333,139.5,65.97,68,100,19.57
129,Burnie,AU,2022-09-02 05:02:28,-41.0667,145.9167,58.91,43,68,10.31
130,Narsaq,GL,2022-09-02 05:02:28,60.9167,-46.05,46.62,55,23,5.68
131,Richards Bay,ZA,2022-09-02 05:02:29,-28.783,32.0377,61.23,66,0,14.45
132,Camacha,PT,2022-09-02 05:02:29,33.0833,-16.3333,67.42,88,20,3.44
133,Port Hedland,AU,2022-09-02 05:02:29,-20.3167,118.5667,82.45,51,100,17.27
134,Hamilton,US,2022-09-02 05:02:30,39.1834,-84.5333,72.0,87,95,3.33
135,Swan River,CA,2022-09-02 05:02:30,52.1058,-101.2676,59.95,56,43,17.96
136,Nizhniy Kuranakh,RU,2022-09-02 05:03:30,58.8353,125.4869,47.98,64,83,11.59
137,Labis,MY,2022-09-02 05:03:31,2.385,103.021,84.52,74,74,7.29
138,Namibe,AO,2022-09-02 05:03:31,-15.1961,12.1522,60.55,91,90,4.36
139,Cockburn Town,TC,2022-09-02 05:00:43,21.4612,-71.1419,82.65,74,1,18.1
140,Ahipara,NZ,2022-09-02 05:03:31,-35.1667,173.1667,57.78,62,23,6.46
141,Koppang,NO,2022-09-02 05:03:32,61.5706,11.0555,47.53,70,100,3.13
142,Saint-Augustin,CA,2022-09-02 05:03:32,51.226,-58.6502,57.99,94,64,7.02
143,Veinticinco De Mayo,AR,2022-09-02 05:03:32,-35.4323,-60.1727,44.98,82,100,4.0
144,Police,PL,2022-09-02 05:03:33,53.5521,14.5718,54.54,93,0,5.28
145,Bredasdorp,ZA,2022-09-02 05:03:33,-34.5322,20.0403,46.83,91,3,5.21
146,Jalu,LY,2022-09-02 05:03:33,29.0331,21.5482,78.53,53,0,5.95
147,Prince Rupert,CA,2022-09-02 05:03:25,54.3161,-130.3201,57.51,84,14,1.61
148,Belmonte,BR,2022-09-02 05:03:33,-15.8631,-38.8828,69.1,81,86,9.24
149,Rawson,AR,2022-09-02 05:03:34,-43.3002,-65.1023,49.15,40,0,7.07
150,Ancud,CL,2022-09-02 05:03:34,-41.8697,-73.8203,40.39,86,6,4.52
151,Erseke,AL,2022-09-02 05:03:34,40.3378,20.6789,60.03,86,97,2.57
152,Port Elizabeth,ZA,2022-09-02 04:59:23,-33.918,25.5701,59.31,91,75,17.27
153,Gomel,BY,2022-09-02 05:00:00,52.4345,30.9754,47.82,87,0,6.71
154,Edgewater,US,2022-09-02 05:03:35,28.9889,-80.9023,77.04,86,100,2.06
155,Yarkovo,RU,2022-09-02 05:03:35,57.4028,67.0786,61.63,77,99,11.21
156,Seydi,TM,2022-09-02 05:03:35,39.4816,62.9137,91.76,8,0,14.76
